value,U,P,Cohen_d,CI_95_low,CI_95_high,n_a,n_b,pathway
Iron_Redox,2937.0,0.7555656997920354,-0.026680728996594974,-0.3283597672229501,0.3028149756425547,62,92,Iron_Redox
Lipid_PPAR,2757.0,0.7277272801669912,-0.10581039910755098,-0.3760647108712865,0.20255988347969212,62,92,Lipid_PPAR
